president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2568875,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/3/2017,2/7/2017,Ipsos,B+,1900,a,0.1666627,0,47.5,47.6,47.76972,46.28869,,T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/4/2017,2/6/2017,Gallup,B,1500,a,0.1522663,0,42,54,43.10976,52.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1401103,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/5/2017,2/7/2017,Gallup,B,1500,a,0.1512694,0,43,52,44.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/5/2017,2/7/2017,YouGov,B,1500,a,0.8567116,0,41,48,41.82018,50.45123,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/4/2017,2/8/2017,Ipsos,B+,1718,a,0.1512222,0,47.5,47.6,47.76972,46.28869,,T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/5/2017,2/6/2017,Emerson College,B+,617,rv,1.095338,0,48,47,46.6941,48.41011,,,http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/6/2017,2/8/2017,Gallup,B,1500,a,0.1504216,0,43,52,44.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1395808,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/5/2017,2/9/2017,Ipsos,B+,1756,a,0.1551476,0,47.8,46.4,48.06972,45.08869,,T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1390093,0,52,48,46.76586,48.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/6/2017,2/10/2017,Ipsos,B+,1765,a,0.1565977,0,46.7,47.6,46.96972,46.28869,,T,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/7/2017,2/9/2017,Gallup,B,1500,a,0.1497145,0,42,52,43.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,0.8233231,0,43,53,42.30305,53.4044,,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/8/2017,2/10/2017,Gallup,B,1500,a,0.1491415,0,41,53,42.10976,51.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/7/2017,2/11/2017,Ipsos,B+,1770,a,0.157612,0,46.7,47.5,46.96972,46.18869,,T,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/6/2017,2/12/2017,SurveyMonkey,D-,9349,a,0.2229487,0,46,53,43.84014,51.53904,,,https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/7/2017,2/12/2017,Pew Research Center,B-,1503,a,1.415614,0,39,56,40.60276,53.66085,,,http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0826714,0,52,48,46.76586,48.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/9/2017,2/11/2017,Gallup,B,1500,a,0.1486977,0,40,55,41.10976,53.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/9/2017,2/10/2017,Morning Consult,B-,1791,rv,0.7121544,0,49,45,45.57074,47.47749,,,https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/8/2017,2/12/2017,Ipsos,B+,1774,a,0.1584064,0,46.3,48.4,46.56972,47.08869,,T,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/9/2017,2/13/2017,Ipsos,B+,1813,a,0.1621618,0,46.3,48.5,46.56972,47.18869,,T,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/10/2017,2/12/2017,Gallup,B,1500,a,0.1483796,0,40,54,41.10976,52.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2456696,0,52,48,46.76586,48.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/11/2017,2/13/2017,Harris Interactive,C+,2148,rv,1.342118,0,48,52,44.8496,51.17472,,,http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/10/2017,2/14/2017,Ipsos,B+,1777,a,0.1589968,0,45.3,50.6,45.56972,49.28869,,T,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/11/2017,2/13/2017,Fox News,A,1013,rv,1.81272,0,48,47,46.37115,47.9257,,,http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/11/2017,2/13/2017,Gallup,B,1500,a,0.1480987,0,40,54,41.10976,52.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/12/2017,2/14/2017,Gallup,B,1500,a,0.1478532,0,40,53,41.10976,51.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1357629,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/11/2017,2/15/2017,Ipsos,B+,1766,a,0.157712,0,45.8,50.4,46.06972,49.08869,,T,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/12/2017,2/14/2017,YouGov,B,1500,a,0.801548,0,43,47,43.82018,49.45123,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/13/2017,2/15/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1360041,0,55,45,49.76586,45.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49302,77318,2/16/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/13/2017,2/15/2017,Gallup,B,1500,a,0.1476415,0,40,54,41.10976,52.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49303,77319,2/16/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/12/2017,2/16/2017,Ipsos,B+,1718,a,0.1529407,0,45.9,50.2,46.16972,48.88869,,T,http://polling.reuters.com/#poll/CP3_2/,49403,77576,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/13/2017,2/17/2017,Ipsos,B+,2512,a,0.2229108,0,45.1,51.1,45.36972,49.78869,,T,http://polling.reuters.com/#poll/CP3_2/,49402,77575,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/14/2017,2/16/2017,Gallup,B,1500,a,0.1474624,0,38,56,39.10976,54.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49297,77313,2/17/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/13/2017,2/17/2017,SurveyMonkey,D-,9163,a,0.1744872,0,45,53,42.84014,51.53904,,,https://blog.electiontracking.surveymonkey.com/2017/02/17/trump-approval-february-13-17/,49306,77322,2/18/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/14/2017,2/16/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1360634,0,55,45,49.76586,45.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49300,77316,2/17/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/15/2017,2/17/2017,Gallup,B,1500,a,0.1473147,0,40,55,41.10976,53.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49301,77317,2/18/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/13/2017,2/19/2017,SurveyMonkey,D-,11512,a,0.2170261,0,43,54,40.84014,52.53904,,,http://www.nbcnews.com/feature/data-points/poll-majority-americans-worried-about-war-feel-favorably-toward-nato-n723931,49314,77330,2/20/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/14/2017,2/18/2017,Ipsos,B+,2334,a,0.2070291,0,44.3,52.1,44.56972,50.78869,,T,http://polling.reuters.com/#poll/CP3_2/,49401,77574,3/1/2017,15:18:36  3 Jul 2018,,
